,State,County,Outbreak Date,HPAI Wildbird Strain,Bird Species,WOAH Classification,Year,Month,Day,FIPS Code,Latitude,Longitude,Flock Type,Flock Size,HPAI Flock Strain,Mammal Species,Temp,Precipitation,Outbreak Occured
87,0,1006,0,5,219,3,0.0,0.0,0.0,1085.0,32.1547,-86.6501,23,0.0,2,37,58.7,25.03,0
88,0,1021,0,5,219,3,0.0,0.0,0.0,1087.0,32.3859,-85.6927,23,0.0,2,37,58.7,25.03,0
89,0,1024,2023-04-13 00:00:00,0,13,2,2023.0,4.0,13.0,1089.0,34.7631,-86.5502,23,0.0,2,37,58.7,25.03,1
90,0,1037,0,5,219,3,0.0,0.0,0.0,1091.0,32.2477,-87.7895,23,0.0,2,37,58.7,25.03,0
91,0,1042,2023-01-04 00:00:00,3,183,2,2023.0,1.0,4.0,1093.0,34.1366,-87.8871,23,0.0,2,37,58.7,25.03,1
92,0,1046,2023-11-02 00:00:00,5,219,3,2023.0,11.0,2.0,0.0,0.0,0.0,3,47900.0,2,37,58.7,25.03,1
93,0,1046,2024-08-29 00:00:00,0,43,2,2024.0,8.0,29.0,1095.0,34.367,-86.3066,23,0.0,2,37,58.7,25.03,1
94,0,1130,0,5,219,3,0.0,0.0,0.0,1097.0,30.7877,-88.2058,23,0.0,2,37,58.7,25.03,0
95,0,1139,0,5,219,3,0.0,0.0,0.0,1099.0,31.5709,-87.3654,23,0.0,2,37,58.7,25.03,0
96,0,1144,2022-11-07 00:00:00,3,22,2,2022.0,11.0,7.0,1101.0,32.2203,-86.2076,23,0.0,2,37,58.7,25.03,1
97,0,1144,2022-11-07 00:00:00,3,22,2,2022.0,11.0,7.0,1101.0,32.2203,-86.2076,23,0.0,2,37,58.7,25.03,1
98,0,1144,2022-11-07 00:00:00,3,22,2,2022.0,11.0,7.0,1101.0,32.2203,-86.2076,23,0.0,2,37,58.7,25.03,1
99,0,1144,2022-11-07 00:00:00,3,22,2,2022.0,11.0,7.0,1101.0,32.2203,-86.2076,23,0.0,2,37,58.7,25.03,1
100,0,1144,2022-11-07 00:00:00,0,22,2,2022.0,11.0,7.0,1101.0,32.2203,-86.2076,23,0.0,2,37,58.7,25.03,1
101,0,1144,2022-11-07 00:00:00,0,22,2,2022.0,11.0,7.0,1101.0,32.2203,-86.2076,23,0.0,2,37,58.7,25.03,1
102,0,1144,2022-11-07 00:00:00,3,22,2,2022.0,11.0,7.0,1101.0,32.2203,-86.2076,23,0.0,2,37,58.7,25.03,1
103,0,1144,2022-11-07 00:00:00,3,22,2,2022.0,11.0,7.0,1101.0,32.2203,-86.2076,23,0.0,2,37,58.7,25.03,1
104,0,1144,2022-11-07 00:00:00,3,22,2,2022.0,11.0,7.0,1101.0,32.2203,-86.2076,23,0.0,2,37,58.7,25.03,1
105,0,1144,2022-11-07 00:00:00,3,22,2,2022.0,11.0,7.0,1101.0,32.2203,-86.2076,23,0.0,2,37,58.7,25.03,1
106,0,1144,2022-11-07 00:00:00,3,22,2,2022.0,11.0,7.0,1101.0,32.2203,-86.2076,23,0.0,2,37,58.7,25.03,1
107,0,1144,2022-11-07 00:00:00,3,22,2,2022.0,11.0,7.0,1101.0,32.2203,-86.2076,23,0.0,2,37,58.7,25.03,1
108,0,1144,2022-11-07 00:00:00,3,22,2,2022.0,11.0,7.0,1101.0,32.2203,-86.2076,23,0.0,2,37,58.7,25.03,1
109,0,1144,2022-11-07 00:00:00,3,22,2,2022.0,11.0,7.0,1101.0,32.2203,-86.2076,23,0.0,2,37,58.7,25.03,1
110,0,1144,2022-11-16 00:00:00,3,22,2,2022.0,11.0,16.0,1101.0,32.2203,-86.2076,23,0.0,2,37,58.7,25.03,1
111,0,1144,2022-11-16 00:00:00,3,22,2,2022.0,11.0,16.0,1101.0,32.2203,-86.2076,23,0.0,2,37,58.7,25.03,1
112,0,1152,2023-01-04 00:00:00,3,83,2,2023.0,1.0,4.0,1103.0,34.4535,-86.8529,23,0.0,2,37,58.7,25.03,1
113,0,1152,2023-01-04 00:00:00,3,83,2,2023.0,1.0,4.0,1103.0,34.4535,-86.8529,23,0.0,2,37,58.7,25.03,1
114,0,1152,2023-01-04 00:00:00,3,83,2,2023.0,1.0,4.0,1103.0,34.4535,-86.8529,23,0.0,2,37,58.7,25.03,1
115,0,1152,2023-01-04 00:00:00,3,83,2,2023.0,1.0,4.0,1103.0,34.4535,-86.8529,23,0.0,2,37,58.7,25.03,1
116,0,1152,2023-01-04 00:00:00,3,83,2,2023.0,1.0,4.0,1103.0,34.4535,-86.8529,23,0.0,2,37,58.7,25.03,1
117,0,1152,2023-01-04 00:00:00,3,83,2,2023.0,1.0,4.0,1103.0,34.4535,-86.8529,23,0.0,2,37,58.7,25.03,1
118,0,1152,2023-01-04 00:00:00,0,83,2,2023.0,1.0,4.0,1103.0,34.4535,-86.8529,23,0.0,2,37,58.7,25.03,1
119,0,1314,0,5,219,3,0.0,0.0,0.0,1105.0,32.6385,-87.2944,23,0.0,2,37,58.7,25.03,0
120,0,1325,0,5,219,3,0.0,0.0,0.0,1107.0,33.2808,-88.0887,23,0.0,2,37,58.7,25.03,0
121,0,1325,2024-12-19 00:00:00,5,219,3,2024.0,12.0,19.0,0.0,0.0,0.0,21,50.0,2,37,58.7,25.03,1
122,0,1328,0,5,219,3,0.0,0.0,0.0,1109.0,31.8027,-85.9409,23,0.0,2,37,58.7,25.03,0
123,0,1397,0,5,219,3,0.0,0.0,0.0,1111.0,33.2938,-85.4591,23,0.0,2,37,58.7,25.03,0
124,0,1460,0,5,219,3,0.0,0.0,0.0,1113.0,32.2884,-85.1849,23,0.0,2,37,58.7,25.03,0
125,0,1539,2023-01-03 00:00:00,3,22,2,2023.0,1.0,3.0,1117.0,33.2643,-86.6607,23,0.0,2,37,58.7,25.03,1
126,0,1581,0,5,219,3,0.0,0.0,0.0,1115.0,33.7157,-86.3146,23,0.0,2,37,58.7,25.03,0
127,0,1632,2022-12-20 00:00:00,0,22,2,2022.0,12.0,20.0,1119.0,32.5911,-88.1988,23,0.0,2,37,58.7,25.03,1
128,0,1632,2022-12-20 00:00:00,3,22,2,2022.0,12.0,20.0,1119.0,32.5911,-88.1988,23,0.0,2,37,58.7,25.03,1
129,0,1648,0,5,219,3,0.0,0.0,0.0,1121.0,33.3801,-86.1659,23,0.0,2,37,58.7,25.03,0
130,0,1650,2022-12-08 00:00:00,0,155,2,2022.0,12.0,8.0,1123.0,32.8624,-85.7975,23,0.0,2,37,58.7,25.03,1
131,0,1650,2022-12-20 00:00:00,0,13,2,2022.0,12.0,20.0,1123.0,32.8624,-85.7975,23,0.0,2,37,58.7,25.03,1
132,0,1713,0,5,219,3,0.0,0.0,0.0,1125.0,33.2896,-87.5251,23,0.0,2,37,58.7,25.03,0
133,0,1761,2024-09-03 00:00:00,3,183,2,2024.0,9.0,3.0,1127.0,33.8033,-87.2973,23,0.0,2,37,58.7,25.03,1
134,0,1780,0,5,219,3,0.0,0.0,0.0,1129.0,31.4076,-88.2079,23,0.0,2,37,58.7,25.03,0
