FullGeoName,FIPS Codes,County Name,State,Outbreak Date,Flock Type,Flock Size,State Count,Outbreaks,Counties
"OH, Ashland",39005,Ashland,Ohio,9/3/2022,WOAH Non-Poultry,640,0,1,1
"WI, Washington",55131,Washington,Wisconsin,9/2/2022,WOAH Poultry,120,0,1,1
"MN, Hennepin",27053,Hennepin,Minnesota,9/1/2022,WOAH Non-Poultry,10,0,1,1
"CA, Tuolumne",6109,Tuolumne,California,9/1/2022,Commercial Turkey Meat Bird,290900,0,4,1
"ND, Cass",38017,Cass,North Dakota,9/1/2022,WOAH Non-Poultry,116,0,2,1
"IN, Elkhart",18039,Elkhart,Indiana,9/1/2022,WOAH Poultry; Commercial Duck Meat Bird; Commercial Duck Breeder,17960,0,4,1
"VA, Caroline",51033,Caroline,Virginia,8/29/2022,WOAH Non-Poultry,110,0,1,1
"WA, Cowlitz",53015,Cowlitz,Washington,8/26/2022,WOAH Non-Poultry,20,0,1,1
"UT, Weber",49057,Weber,Utah,8/24/2022,WOAH Non-Poultry,20,0,1,1
"CA, Contra Costa",6013,Contra Costa,California,8/23/2022,WOAH Non-Poultry,60,0,1,1
"GA, Henry",13151,Henry,Georgia,8/22/2022,WOAH Non-Poultry,80,0,1,1
"WA, Walla Walla",53071,Walla Walla,Washington,8/18/2022,WOAH Non-Poultry,2,0,1,1
"PA, Northampton",42095,Northampton,Pennsylvania,8/11/2022,WOAH Poultry,90,0,1,1
"NY, Kings",36047,Kings,New York,8/3/2023,Live Bird Market,3260,0,4,1
"AK, Bethel Ca",2050,Bethel,Alaska,8/2/2022,WOAH Non-Poultry,20,0,1,1
"WA, Jefferson",53031,Jefferson,Washington,7/26/2022,WOAH Non-Poultry,100,0,2,1
"FL, Hendry",12051,Hendry,Florida,7/24/2024,WOAH Non-Poultry,5,0,1,1
"MN, Renville",27129,Renville,Minnesota,7/9/2024,Commercial Turkey Breeder Hens; Commercial Turkey Meat Bird,91800,0,2,1
"NV, Carson City",32510,Carson City,Nevada,7/7/2022,WOAH Non-Poultry,40,0,1,1
"ME, Cumberland",23005,Cumberland,Maine,6/29/2022,WOAH Non-Poultry; WOAH Poultry,270,0,2,1
"WA, Yakima",53077,Yakima,Washington,6/29/2022,WOAH Non-Poultry,196,0,4,1
"MN, Pipestone",27117,Pipestone,Minnesota,6/18/2024,Commercial Turkey Meat Bird,70800,0,1,1
"MN, Lyon",27083,Lyon,Minnesota,6/12/2024,Commercial Turkey Meat Bird,209800,0,2,1
"ID, Jerome",16053,Jerome,Idaho,6/10/2024,WOAH Non-Poultry; WOAH Poultry,1240,0,5,1
"IN, Allen",18003,Allen,Indiana,6/9/2022,WOAH Non-Poultry; WOAH Poultry,26307,0,5,1
"GA, Toombs",13279,Toombs,Georgia,6/1/2022,WOAH Non-Poultry,490,0,1,1
"SC, Richland",45079,Richland,South Carolina,5/31/2024,WOAH Non-Poultry,30,0,1,1
"ID, Ada",16001,Ada,Idaho,5/24/2022,WOAH Non-Poultry; WOAH Poultry,316,0,11,1
"WI, Bayfield",55007,Bayfield,Wisconsin,5/23/2022,WOAH Non-Poultry,40,0,1,1
"MN, Dakota",27037,Dakota,Minnesota,5/21/2022,Commercial Turkey Meat Bird,134300,0,2,1
"MN, Polk",27119,Polk,Minnesota,5/20/2022,WOAH Non-Poultry,50,0,1,1
"WY, Campbell",56005,Campbell,Wyoming,5/20/2022,WOAH Non-Poultry,30,0,1,1
"SD, Codington",46029,Codington,South Dakota,5/20/2022,WOAH Poultry,220,0,2,1
"NC, Rowan",37159,Rowan,North Carolina,5/18/2023,WOAH Non-Poultry,32,0,2,1
"MO, Phelps",29161,Phelps,Missouri,5/18/2023,WOAH Non-Poultry,80,0,1,1
"MN, Clay",27027,Clay,Minnesota,5/18/2022,WOAH Non-Poultry,100,0,2,1
"ND, Burke",38013,Burke,North Dakota,5/17/2022,WOAH Non-Poultry,50,0,1,1
"OR, Lane",41039,Lane,Oregon,5/17/2022,WOAH Poultry,450,0,1,1
"WA, Thurston",53067,Thurston,Washington,5/17/2022,WOAH Non-Poultry,530,0,2,1
"IL, Boone",17007,Boone,Illinois,5/17/2022,WOAH Non-Poultry,20,0,1,1
"NJ, Monmouth",34025,Monmouth,New Jersey,5/17/2022,WOAH Poultry,60,0,1,1
"WY, Lincoln",56023,Lincoln,Wyoming,5/13/2022,WOAH Non-Poultry,40,0,1,1
"WI, Marinette",55075,Marinette,Wisconsin,5/13/2022,WOAH Non-Poultry,90,0,1,1
"MN, Chisago",27025,Chisago,Minnesota,5/12/2022,WOAH Non-Poultry; WOAH Poultry,320,0,5,1
"MN, Grant",27051,Grant,Minnesota,5/12/2022,WOAH Non-Poultry,310,0,1,1
"MN, Nobles",27105,Nobles,Minnesota,5/11/2023,WOAH Non-Poultry,100,0,1,1
"WA, Clallam",53009,Clallam,Washington,5/11/2022,WOAH Non-Poultry,20,0,2,1
"MI, Ionia",26067,Ionia,Michigan,5/10/2024,WOAH Non-Poultry; Commercial Table Egg Layer,6498790,0,4,1
"MN, Crow Wing",27035,Crow Wing,Minnesota,5/10/2022,WOAH Poultry,150,0,1,1
"CA, San Francisco",6075,San Francisco,California,5/9/2024,Live Bird Market,700,0,1,1
"WA, Spokane",53063,Spokane,Washington,5/7/2022,WOAH Non-Poultry,80,0,1,1
"ID, Cassia",16031,Cassia,Idaho,5/6/2024,WOAH Non-Poultry,640,0,2,1
"MI, Oakland",26125,Oakland,Michigan,5/6/2022,WOAH Non-Poultry,150,0,2,1
"MT, Fergus",30027,Fergus,Montana,5/6/2022,WOAH Non-Poultry,130,0,2,1
"MN, Anoka",27003,Anoka,Minnesota,5/6/2022,WOAH Non-Poultry,10,0,1,1
"IN, Posey",18129,Posey,Indiana,5/5/2023,WOAH Non-Poultry,20,0,1,1
"WA, Pacific",53049,Pacific,Washington,5/5/2022,WOAH Poultry,40,0,1,1
"WI, Pierce",55093,Pierce,Wisconsin,5/5/2022,WOAH Non-Poultry,30,0,1,1
"IA, Bremer",19017,Bremer,Iowa,5/4/2022,WOAH Non-Poultry; Commercial Turkey Meat Bird,29250,0,2,1
"MN, Carver",27019,Carver,Minnesota,5/4/2022,WOAH Non-Poultry,50,0,2,1
"IL, Kane",17089,Kane,Illinois,5/3/2022,WOAH Non-Poultry,50,0,1,1
"WI, Polk",55095,Polk,Wisconsin,5/3/2022,WOAH Non-Poultry; Commercial Turkey Meat Bird,22160,0,3,1
"WI, Fond Du Lac",55039,Fond Du Lac,Wisconsin,5/3/2022,WOAH Non-Poultry,20,0,1,1
"WI, Sauk",55111,Sauk,Wisconsin,5/3/2022,WOAH Non-Poultry,40,0,1,1
"MI, Gratiot",26057,Gratiot,Michigan,5/2/2024,Commercial Turkey Meat Bird,54100,0,2,1
"FL, Clay",12019,Clay,Florida,4/30/2024,WOAH Non-Poultry,20,0,1,1
"OK, Sequoyah",40135,Sequoyah,Oklahoma,4/30/2022,Commercial Broiler Breeder,13800,0,1,1
"MI, Branch",26023,Branch,Michigan,4/30/2022,WOAH Non-Poultry,20,0,1,1
"NE, Washington",31177,Washington,Nebraska,4/29/2022,WOAH Non-Poultry,50,0,1,1
"MT, Gallatin",30031,Gallatin,Montana,4/29/2022,WOAH Non-Poultry,20,0,1,1
"WI, Oconto",55083,Oconto,Wisconsin,4/29/2022,WOAH Non-Poultry,220,0,1,1
"MT, Pondera",30073,Pondera,Montana,4/29/2022,WOAH Non-Poultry,2000,0,1,1
"VT, Caledonia",50005,Caledonia,Vermont,4/28/2022,WOAH Non-Poultry,30,0,1,1
"MI, Wexford",26165,Wexford,Michigan,4/28/2022,WOAH Poultry,70,0,1,1
"IN, Johnson",18081,Johnson,Indiana,4/28/2022,WOAH Non-Poultry,40,0,1,1
"MI, Saginaw",26145,Saginaw,Michigan,4/27/2022,WOAH Non-Poultry,80,0,1,1
"KS, Republic",20157,Republic,Kansas,4/27/2022,WOAH Poultry,110,0,1,1
"ND, Richland",38077,Richland,North Dakota,4/26/2022,WOAH Poultry; Commercial Turkey Meat Bird,27520,0,2,1
"MI, Menominee",26109,Menominee,Michigan,4/25/2022,WOAH Non-Poultry; WOAH Poultry,490,0,4,1
"MN, Rice",27131,Rice,Minnesota,4/25/2022,WOAH Non-Poultry,90,0,1,1
"CO, Routt",8107,Routt,Colorado,4/24/2023,WOAH Non-Poultry,20,0,1,1
"MN, Yellow Medicine",27173,Yellow Medicine,Minnesota,4/22/2022,Commercial Turkey Meat Bird,94300,0,2,1
"ND, Renville",38075,Renville,North Dakota,4/21/2022,WOAH Non-Poultry,70,0,1,1
"ID, Madison",16065,Madison,Idaho,4/20/2022,WOAH Poultry,200,0,1,1
"ND, Stutsman",38093,Stutsman,North Dakota,4/19/2022,WOAH Poultry,60,0,2,1
"NM, Roosevelt",35041,Roosevelt,New Mexico,4/17/2024,Commercial Breeder (Multiple Bird Species),129200,0,3,1
"MI, Newaygo",26123,Newaygo,Michigan,4/17/2024,Commercial Turkey Meat Bird,67200,0,1,1
"CO, Moffat",8081,Moffat,Colorado,4/17/2023,WOAH Non-Poultry,120,0,2,1
"NY, Putnam",36079,Putnam,New York,4/17/2023,WOAH Poultry; WOAH Non-Poultry,370,0,3,1
"MI, Livingston",26093,Livingston,Michigan,4/15/2022,WOAH Non-Poultry,20,0,1,1
"MT, Rosebud",30087,Rosebud,Montana,4/14/2023,WOAH Non-Poultry,0,0,1,1
"NE, Sheridan",31161,Sheridan,Nebraska,4/14/2023,WOAH Non-Poultry,10,0,1,1
"WI, Sheboygan",55117,Sheboygan,Wisconsin,4/14/2022,WOAH Non-Poultry,20,0,1,1
"WI, Columbia",55021,Columbia,Wisconsin,4/14/2022,WOAH Non-Poultry,70,0,1,1
"ID, Caribou",16029,Caribou,Idaho,4/14/2022,WOAH Non-Poultry,7,0,1,1
"SD, Deuel",46039,Deuel,South Dakota,4/13/2022,Commercial Upland Gamebird Producer,1400,0,1,1
"MN, Benton",27009,Benton,Minnesota,4/13/2022,WOAH Non-Poultry,137,0,2,1
"ND, Barnes",38003,Barnes,North Dakota,4/13/2022,WOAH Poultry,90,0,1,1
"CA, Modoc",6049,Modoc,California,4/12/2023,WOAH Non-Poultry,60,0,1,1
"CO, Pueblo",8101,Pueblo,Colorado,4/12/2023,WOAH Non-Poultry,30,0,1,1
"NC, Wayne",37191,Wayne,North Carolina,4/12/2022,Commercial Broiler Production; Commercial Turkey Meat Bird,420900,0,6,1
"ND, Sheridan",38083,Sheridan,North Dakota,4/12/2022,WOAH Non-Poultry,30,0,1,1
"MT, Toole",30101,Toole,Montana,4/12/2022,WOAH Non-Poultry,20,0,1,1
"KS, Grant",20067,Grant,Kansas,4/10/2024,WOAH Poultry,17700,0,1,1
"KS, Mitchell",20123,Mitchell,Kansas,4/10/2023,WOAH Non-Poultry; Commercial Upland Gamebird Producer; WOAH Poultry; Commercial Raised for Release Upland Game Bird,67070,0,9,1
"MT, Cascade",30013,Cascade,Montana,4/7/2022,WOAH Poultry; WOAH Non-Poultry,22060,0,3,1
"MT, Judith Basin",30045,Judith Basin,Montana,4/7/2022,WOAH Non-Poultry,20,0,1,1
"WY, Park",56029,Park,Wyoming,4/6/2022,WOAH Non-Poultry,150,0,3,1
"NY, Fulton",36035,Fulton,New York,4/6/2022,WOAH Non-Poultry,4,0,1,1
"MO, Lawrence",29109,Lawrence,Missouri,4/5/2022,Commercial Turkey Meat Bird; Commercial Turkey Breeder Replacement Hens,117800,0,3,1
"NY, Orleans",36073,Orleans,New York,4/5/2022,WOAH Poultry,30,0,1,1
"ME, Waldo",23027,Waldo,Maine,4/5/2022,WOAH Non-Poultry,50,0,1,1
"IA, Hardin",19083,Hardin,Iowa,4/5/2022,Commercial Turkey Meat Bird,46000,0,1,1
"NE, Scotts Bluff",31157,Scotts Bluff,Nebraska,4/5/2022,WOAH Non-Poultry,37,0,2,1
"TX, Erath",48143,Erath,Texas,4/3/2022,Commercial Upland Gamebird Producer,1700,0,1,1
"TX, Parmer",48369,Parmer,Texas,4/2/2024,Commercial Table Egg Layer,1894100,0,1,1
"NC, Johnston",37101,Johnston,North Carolina,4/2/2022,Commercial Turkey Meat Bird,60500,0,3,1
"IA, Humboldt",19091,Humboldt,Iowa,4/2/2022,Commercial Table Egg Breeder,15300,0,1,1
"WI, Rock",55105,Rock,Wisconsin,4/1/2022,WOAH Non-Poultry,20,0,1,1
"IL, Carroll",17015,Carroll,Illinois,3/31/2022,WOAH Non-Poultry,40,0,1,1
"IA, Osceola",19143,Osceola,Iowa,3/31/2022,Commercial Table Egg Layer,5011700,0,1,1
"ME, Lincoln",23015,Lincoln,Maine,3/30/2022,WOAH Non-Poultry,133,0,3,1
"ND, Kidder",38043,Kidder,North Dakota,3/29/2022,WOAH Poultry,30,0,1,1
"NY, Monroe",36055,Monroe,New York,3/29/2022,WOAH Poultry; WOAH Non-Poultry,420,0,2,1
"MA, Berkshire",25003,Berkshire,Massachusetts,3/29/2022,WOAH Non-Poultry,260,0,1,1
"MN, Lac Qui Parle",27073,Lac Qui Parle,Minnesota,3/29/2022,Commercial Turkey Meat Bird,22500,0,1,1
"ME, Knox",23013,Knox,Maine,3/29/2022,WOAH Non-Poultry,230,0,5,1
"OH, Franklin",39049,Franklin,Ohio,3/29/2022,WOAH Non-Poultry,18,0,2,1
"WY, Johnson",56019,Johnson,Wyoming,3/29/2022,WOAH Non-Poultry,40,0,1,1
"NC, Guilford",37081,Guilford,North Carolina,3/28/2024,WOAH Non-Poultry,80,0,1,1
"CO, Yuma",8125,Yuma,Colorado,3/28/2023,WOAH Poultry,310,0,1,1
"NE, Holt",31089,Holt,Nebraska,3/26/2022,WOAH Non-Poultry,50,0,1,1
"MO, Gentry",29075,Gentry,Missouri,3/26/2022,WOAH Non-Poultry,140,0,1,1
"MN, Mower",27099,Mower,Minnesota,3/26/2022,WOAH Non-Poultry,20,0,1,1
"NY, Suffolk",36103,Suffolk,New York,3/25/2022,WOAH Poultry; Commercial Upland Gamebird Producer; WOAH Non-Poultry; Commercial Duck Meat Bird,109808,0,5,1
"IA, Franklin",19069,Franklin,Iowa,3/25/2022,Commercial Table Egg Pullets,250200,0,1,1
"KS, Ellsworth",20053,Ellsworth,Kansas,3/24/2023,WOAH Non-Poultry,50,0,1,1
"CO, Arapahoe",8005,Arapahoe,Colorado,3/24/2023,WOAH Non-Poultry,30,0,2,1
"NE, Butler",31023,Butler,Nebraska,3/24/2022,Commercial Broiler Production,988500,0,2,1
"NY, Tompkins",36109,Tompkins,New York,3/22/2023,WOAH Poultry,6500,0,1,1
"OR, Klamath",41035,Klamath,Oregon,3/22/2023,WOAH Non-Poultry,48,0,3,1
"TX, Hale",48189,Hale,Texas,3/22/2023,WOAH Non-Poultry,20,0,1,1
"NY, Washington",36115,Washington,New York,3/21/2023,WOAH Non-Poultry,50,0,1,1
